channel_id,channel_title,video_id,start,end,title
UCDqI2jOz0weumE8s7paEk6g,Roboco Ch. - ロボ子,OxJC0vBEDC8,2020-02-03T07:02:47.000Z,2020-02-03T10:57:52.000Z,【🔰初心者ARK】第二歩｜恐竜を飼いたい！！！！！！【ホロライブ/ロボ子さん】
UCdn5BQ06XqgXoAxIhbqw5Rg,フブキCh。白上フブキ,B_-kvZFpXb8,2020-02-03T08:01:04.000Z,2020-02-03T09:00:54.000Z,【Ark: Survival Evolved】夏色吹雪のビーバー捕獲作戦!!!!!!【#とまらないARK】
UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,krpej-JRYng,2020-02-03T08:02:12.820Z,2020-02-03T10:33:27.000Z,【#湊あくあ#兎田ぺこら】#ホロARK廃人勢 の先輩3人と緊急コラボ！大怪鳥TEKケツァルを捕まえろ！【#宝鐘マリン#桐生ココ】
UC1opHUrw8rvnsadT-iGp7Cg,Aqua Ch. 湊あくあ,Geo99e23RtM,2020-02-03T08:02:30.136Z,2020-02-03T10:34:09.000Z,【ARK】TEKケツァル捕獲作戦！絶対に捕まえて私たちは伝説になるんだ・・！！【#ホロARK廃人勢】
UCl_gCybOJRIgOXw6Qb4qJzQ,Rushia Ch. 潤羽るしあ,3cyUa3H42Ig,2020-02-03T10:00:31.000Z,2020-02-03T12:01:57.000Z,【ARK】原始るしあ、恐竜つかまえたりしたい！！！！！！！！！！【ホロライブ/潤羽るしあ】
UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,HVpwhApv-fk,2020-02-03T10:59:52.332Z,2020-02-03T18:10:52.000Z,【ARK】プテラに乗って大空を羽ばたきたいなのら🦕【姫森ルーナ/ホロライブ】
UCXTpFs_3PqI41qX2d9tL2Rw,Shion Ch. 紫咲シオン,PDvxKio33vA,2020-02-03T11:06:47.318Z,2020-02-03T13:42:43.000Z,【ARK】肉食恐竜捕獲目指して協力💓初コラボ！！【ホロライブ/紫咲シオン/桐生ココ】
UC-hM6YJuNYVAmUWxeIr9FeA,Miko Ch. さくらみこ,jp2uylseMXc,2020-02-03T11:14:51.814Z,2020-02-03T17:48:43.000Z,#7【ぽんこつArk】新たな仲間をテイム！カワウソちゃんほちい！【ホロライブ/さくらみこ】
UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,UmUyPHK4r3c,2020-02-03T13:01:51.158Z,2020-02-03T14:53:12.000Z,【初！！】ARK！！！最強拠点を作ってぼろ儲けッス！！！！【ホロ鯖】
UCZlDXzGoo7d44bwdNObFacg,Kanata Ch. 天音かなた,hzBoNtBihdE,2020-02-03T14:00:26.912Z,2020-02-03T20:44:18.000Z,【ARK】まつり先輩、結局4期生の中で誰が好きなんですか……？？？【夏色まつり＆天音かなた/ホロライブ】
UCdn5BQ06XqgXoAxIhbqw5Rg,フブキCh。白上フブキ,kJSoXTnZ2Gk,2020-02-03T14:03:21.117Z,2020-02-03T17:30:33.000Z,【Ark】もう一度ヒツジに会いたいオネェと狐【#とまらないARK】
UCFTLzh12_nrtzqBPsTCqenA,アキロゼCh。Vtuber/ホロライブ所属,5Ezi_z0lzK4,2020-02-04T03:59:29.451Z,2020-02-04T07:03:22.000Z,【Ark】冒険編：ついにFly Awayする！？【ホロライブ/ #夏アッキー 】
UCl_gCybOJRIgOXw6Qb4qJzQ,Rushia Ch. 潤羽るしあ,46pHsZKgtuI,2020-02-04T07:59:55.000Z,2020-02-04T08:23:31.000Z,【ARK】全滅からの悲劇【ホロライブ/潤羽るしあ】
UCl_gCybOJRIgOXw6Qb4qJzQ,Rushia Ch. 潤羽るしあ,z3pRAE85bb8,2020-02-04T09:02:51.000Z,2020-02-04T10:40:57.000Z,【ARK】アプデオワ！？全滅したから恐竜捕まえる！！！！！！【ホロライブ/潤羽るしあ】
